year,constructorRef_mapped,avg_lap_speed,drivers
2008,racing_point,3.133083036393462,"Fisichella, Sutil"
2009,racing_point,3.2008492137425026,"Sutil, Fisichella"
2010,racing_point,3.15109675143265,"Liuzzi, Sutil"
2011,racing_point,3.069633358950523,"Sutil, di Resta"
2012,racing_point,3.102513294207353,"Hülkenberg, di Resta"
2013,racing_point,3.1154252459554606,"Sutil, di Resta"
2014,racing_point,3.150959350575007,"Hülkenberg, Pérez"
2015,racing_point,3.1188110883728997,"Hülkenberg, Pérez"
2016,racing_point,3.128919201012843,"Hülkenberg, Pérez"
2017,racing_point,3.2525697151037756,"Ocon, Pérez"
2018,racing_point,3.2855955751666666,"Ocon, Pérez"
2019,racing_point,3.29516348343605,"Pérez, Stroll"
2020,racing_point,3.4204778511453493,"Stroll, Pérez"
1997,red_bull,3.1020169180116732,"Barrichello, Magnussen"
1998,red_bull,3.101542577718314,"Barrichello, Verstappen"
1999,red_bull,3.1610371784596367,"Barrichello, Herbert"
2000,red_bull,3.126133598006944,"Herbert, Irvine"
2001,red_bull,3.2430375496449635,"Irvine, de la Rosa"
2002,red_bull,3.1939893472589636,"Irvine, de la Rosa"
2003,red_bull,3.2829893891635176,"Webber, Pizzonia"
2004,red_bull,3.420545363491655,"Klien, Webber"
2005,red_bull,3.4091640590257763,"Coulthard, Klien"
2006,red_bull,3.2821583069246096,"Coulthard, Klien"
2007,red_bull,3.209243307061766,"Coulthard, Webber"
2008,red_bull,3.219537073123103,"Coulthard, Webber"
2009,red_bull,3.268783536911847,"Vettel, Webber"
2010,red_bull,3.1795250841893963,"Vettel, Webber"
2011,red_bull,3.1223512266864706,"Vettel, Webber"
2012,red_bull,3.12970992558824,"Vettel, Webber"
2013,red_bull,3.1679040739126925,"Vettel, Webber"
2014,red_bull,3.1268897676233216,"Ricciardo, Vettel"
2015,red_bull,3.1011803684065535,"Kvyat, Ricciardo"
2016,red_bull,3.156579044724118,"Ricciardo, Verstappen"
2017,red_bull,3.2989719289524904,"Ricciardo, Verstappen"
2018,red_bull,3.31320363313495,"Ricciardo, Verstappen"
2019,red_bull,3.3004103467396506,"Verstappen, Gasly"
2020,red_bull,3.4170340504061976,"Albon, Verstappen"
1996,renault,3.0651428804052037,"Alesi, Berger"
1997,renault,3.205582605839531,"Alesi, Berger"
1998,renault,3.1187528828679674,"Fisichella, Wurz"
1999,renault,3.1125465232155607,"Fisichella, Wurz"
2000,renault,3.1608482117892813,"Fisichella, Wurz"
2001,renault,3.2084849489682226,"Button, Fisichella"
2002,renault,3.2621200996106037,"Button, Trulli"
2003,renault,3.24986678418329,"Alonso, Trulli"
2004,renault,3.4185653408339456,"Alonso, Trulli"
2005,renault,3.3959039362984136,"Alonso, Fisichella"
2006,renault,3.334809286181929,"Alonso, Fisichella"
2007,renault,3.2269106948871977,"Fisichella, Kovalainen"
2008,renault,3.2122216715064114,"Alonso, Piquet Jr."
2009,renault,3.2345807850928185,"Alonso, Piquet Jr."
2010,renault,3.080417682651935,"Kovalainen, Kubica, Petrov, Trulli"
2011,renault,3.047420612051364,"Kovalainen, Petrov"
2012,renault,3.1551948524419475,"Räikkönen, Grosjean"
2013,renault,3.158018560697504,"Grosjean, Räikkönen"
2014,renault,3.089798912810877,"Grosjean, Maldonado"
2015,renault,3.0483492844212163,"Grosjean, Maldonado"
2016,renault,3.1056735222859375,"Magnussen, Palmer"
2017,renault,3.2432395950215174,"Hülkenberg, Palmer"
2018,renault,3.256631329188224,"Hülkenberg, Sainz"
2019,renault,3.2905512134715065,"Hülkenberg, Ricciardo"
2020,renault,3.3935744673747257,"Ocon, Ricciardo"
1996,williams,3.0828652986217455,"Hill, Villeneuve"
1997,williams,3.2422085809207526,"Frentzen, Villeneuve"
1998,williams,3.153851312674868,"Frentzen, Villeneuve"
1999,williams,3.147539815275784,"Schumacher, Zanardi"
2000,williams,3.1992287610295227,"Button, Schumacher"
2001,williams,3.3440364823926276,"Pablo Montoya, Schumacher"
2002,williams,3.2968607497347544,"Pablo Montoya, Schumacher"
2003,williams,3.297037377961898,"Pablo Montoya, Schumacher"
2004,williams,3.409894154900629,"Pablo Montoya, Schumacher"
2005,williams,3.3334615710940714,"Webber, Heidfeld"
2006,williams,3.2960734106454566,"Rosberg, Webber"
2007,williams,3.25270040175448,"Rosberg, Wurz"
2008,williams,3.1710788450496916,"Nakajima, Rosberg"
2009,williams,3.2095506964591416,"Nakajima, Rosberg"
2010,williams,3.164310913481374,"Barrichello, Hülkenberg"
2011,williams,3.0461601706066133,"Barrichello, Maldonado"
2012,williams,3.1422040623912055,"Maldonado, Senna"
2013,williams,3.1275234896686586,"Bottas, Maldonado"
2014,williams,3.108113346183098,"Bottas, Massa"
2015,williams,3.1369785070229304,"Bottas, Massa"
2016,williams,3.11829135573111,"Bottas, Massa"
2017,williams,3.2417007877742674,"Stroll, Massa"
2018,williams,3.2372356657191834,"Sirotkin, Stroll"
2019,williams,3.2280983409649306,"Kubica, Russell"
2020,williams,3.3662214139773647,"Latifi, Russell"
